2022-09-03 05:52:39|[INFO]|21a9i50g9vii3n09ninfggtjsp|DMG|::1|visualisation_slides|||2|http://localhost/smartwork/dmg/visualisation_diagrams.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_slides.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-09-03 05:52:39|[INFO]|21a9i50g9vii3n09ninfggtjsp|DMG|::1|slides_visu|9||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/slides_visu.html?id=9|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-09-03 05:55:34|[INFO]|21a9i50g9vii3n09ninfggtjsp|DMG|::1|visualisation_slides|||2|http://localhost/smartwork/dmg/visualisation_diagrams.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_slides.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-09-03 05:55:35|[INFO]|21a9i50g9vii3n09ninfggtjsp|DMG|::1|slides_visu|9||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/slides_visu.html?id=9|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-09-03 05:56:33|[INFO]|21a9i50g9vii3n09ninfggtjsp|DMG|::1|visualisation_slides|||2|http://localhost/smartwork/dmg/visualisation_diagrams.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_slides.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-09-03 05:56:33|[INFO]|21a9i50g9vii3n09ninfggtjsp|DMG|::1|slides_visu|9||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/slides_visu.html?id=9|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-09-03 05:56:51|[INFO]|21a9i50g9vii3n09ninfggtjsp|DMG|::1|visualisation_slides|||2|http://localhost/smartwork/dmg/visualisation_diagrams.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_slides.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-09-03 05:56:52|[INFO]|21a9i50g9vii3n09ninfggtjsp|DMG|::1|slides_visu|9||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/slides_visu.html?id=9|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-09-03 06:00:40|[INFO]|21a9i50g9vii3n09ninfggtjsp|DMG|::1|visualisation_slides|||2|http://localhost/smartwork/dmg/visualisation_diagrams.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_slides.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-09-03 06:00:41|[INFO]|21a9i50g9vii3n09ninfggtjsp|DMG|::1|slides_visu|9||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/slides_visu.html?id=9|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
