2022-09-01 17:41:35|[INFO]|05f84boe8sf72incqn5276114q|DMG|::1|visualisation_slides|||2|http://localhost/smartwork/dmg/slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_slides.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-09-01 17:41:35|[INFO]|05f84boe8sf72incqn5276114q|DMG|::1|slides_visu|9||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/slides_visu.html?id=9|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-09-01 17:42:00|[INFO]|05f84boe8sf72incqn5276114q|DMG|::1|visualisation_slides|||2|http://localhost/smartwork/dmg/slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_slides.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-09-01 17:42:01|[INFO]|05f84boe8sf72incqn5276114q|DMG|::1|slides_visu|9||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/slides_visu.html?id=9|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-09-01 23:07:16|[INFO]|o8t7t7kp8dht5hqm9bk41srn88|DMG|::1||||1|http://localhost/smartwork/dmg/slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_slides.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-09-01 23:07:35|[INFO]|o8t7t7kp8dht5hqm9bk41srn88|DMG|::1|visualisation_slides|||2|http://localhost/smartwork/dmg/domain.html?domainid=9|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_slides.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-09-01 23:07:35|[INFO]|o8t7t7kp8dht5hqm9bk41srn88|DMG|::1|slides_visu|9||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/slides_visu.html?id=9|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-09-01 23:15:47|[INFO]|o8t7t7kp8dht5hqm9bk41srn88|DMG|::1|visualisation_slides|||2|http://localhost/smartwork/dmg/domain.html?domainid=9|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_slides.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-09-01 23:15:48|[INFO]|o8t7t7kp8dht5hqm9bk41srn88|DMG|::1|slides_visu|9||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/slides_visu.html?id=9|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-09-01 23:18:34|[INFO]|o8t7t7kp8dht5hqm9bk41srn88|DMG|::1|visualisation_slides|||2|http://localhost/smartwork/dmg/domain.html?domainid=9|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_slides.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-09-01 23:18:36|[INFO]|o8t7t7kp8dht5hqm9bk41srn88|DMG|::1|slides_visu|9||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/slides_visu.html?id=9|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-09-01 23:19:58|[INFO]|o8t7t7kp8dht5hqm9bk41srn88|DMG|::1|visualisation_slides|||2|http://localhost/smartwork/dmg/domain.html?domainid=9|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_slides.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-09-01 23:19:59|[INFO]|o8t7t7kp8dht5hqm9bk41srn88|DMG|::1|slides_visu|9||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/slides_visu.html?id=9|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-09-01 23:20:10|[INFO]|o8t7t7kp8dht5hqm9bk41srn88|DMG|::1|visualisation_slides|||2|http://localhost/smartwork/dmg/domain.html?domainid=9|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_slides.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-09-01 23:20:11|[INFO]|o8t7t7kp8dht5hqm9bk41srn88|DMG|::1|slides_visu|9||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/slides_visu.html?id=9|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-09-01 23:22:40|[INFO]|o8t7t7kp8dht5hqm9bk41srn88|DMG|::1|visualisation_slides|||2|http://localhost/smartwork/dmg/domain.html?domainid=9|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_slides.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-09-01 23:22:42|[INFO]|o8t7t7kp8dht5hqm9bk41srn88|DMG|::1|slides_visu|9||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/slides_visu.html?id=9|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
