2022-08-28 12:04:22|[INFO]|a79ecs33rplkgn9v42rmhdiq25|DMG|::1|visualisation_results|||2|http://localhost/smartwork/dmg/visualisation_variables.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_results.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-28 12:08:08|[INFO]|a79ecs33rplkgn9v42rmhdiq25|DMG|::1|visualisation_results|||2|http://localhost/smartwork/dmg/visualisation_variables.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_results.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-28 12:08:34|[INFO]|a79ecs33rplkgn9v42rmhdiq25|DMG|::1|visualisation_results|||2|http://localhost/smartwork/dmg/visualisation_variables.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_results.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-28 12:08:57|[INFO]|a79ecs33rplkgn9v42rmhdiq25|DMG|::1|visualisation_diagrams|||2|http://localhost/smartwork/dmg/visualisation_results.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_diagrams.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-28 12:09:25|[INFO]|a79ecs33rplkgn9v42rmhdiq25|SEPARATION|::1|home||Divorce ou séparation : diagnostic personnalisé 100% en ligne|2|http://localhost/smartwork/|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/separation/|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-28 12:10:58|[INFO]|a79ecs33rplkgn9v42rmhdiq25|SEPARATION|::1|outil||outil|2||Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/separation/outil.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-28 12:10:59|[INFO]|a79ecs33rplkgn9v42rmhdiq25|SEPARATION|::1|outil_situation||Diagnostic-Situation|2|http://localhost/smartwork/separation/outil.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/separation/outil_situation.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-28 12:11:05|[INFO]|a79ecs33rplkgn9v42rmhdiq25|SEPARATION|::1|outil_variable||Diagnostic-Variable|2|http://localhost/smartwork/separation/outil.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/separation/outil_variable.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-28 12:12:14|[INFO]|a79ecs33rplkgn9v42rmhdiq25|SEPARATION|::1|outil_result||Diagnostic-Résultat|2|http://localhost/smartwork/separation/outil.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/separation/outil_result.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-28 12:12:25|[INFO]|a79ecs33rplkgn9v42rmhdiq25|DMG|::1|visualisation_diagrams|||2|http://localhost/smartwork/dmg/visualisation_results.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_diagrams.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
