2022-08-19 22:34:02|[INFO]|9t52rp2jadn8rgurbpss2aml7h|DMG|::1|visualisation_slides|||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_slides.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-19 22:34:05|[INFO]|9t52rp2jadn8rgurbpss2aml7h|DMG|::1|visualisation_slides|||2|http://localhost/smartwork/dmg/domain.html?domainid=1|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_slides.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-19 22:34:05|[INFO]|9t52rp2jadn8rgurbpss2aml7h|DMG|::1|slides_visu|1||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/slides_visu.html?id=1|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-19 22:34:05|[INFO]|9t52rp2jadn8rgurbpss2aml7h|DMG|::1|visualisation_slides|||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_slides.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-19 22:34:41|[INFO]|9t52rp2jadn8rgurbpss2aml7h|DMG|::1|visualisation_slides|||2|http://localhost/smartwork/dmg/domain.html?domainid=1|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_slides.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-19 22:34:41|[INFO]|9t52rp2jadn8rgurbpss2aml7h|DMG|::1|slides_visu|1||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/slides_visu.html?id=1|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-19 22:34:42|[INFO]|9t52rp2jadn8rgurbpss2aml7h|DMG|::1|visualisation_slides|||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_slides.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-19 22:42:01|[INFO]|9t52rp2jadn8rgurbpss2aml7h|DMG|::1|visualisation_diagrams|||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_diagrams.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-19 22:44:11|[INFO]|9t52rp2jadn8rgurbpss2aml7h|DMG|::1|visualisation_slides|||2|http://localhost/smartwork/dmg/visualisation_diagrams.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_slides.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-19 22:44:12|[INFO]|9t52rp2jadn8rgurbpss2aml7h|DMG|::1|slides_visu|1||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/slides_visu.html?id=1|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-19 22:44:12|[INFO]|9t52rp2jadn8rgurbpss2aml7h|DMG|::1|visualisation_slides|||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_slides.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
